YEAR,SAMPLING_ROUND,DATE,SITE,SPECIES,NUM_FLORAL_UNITS,SHRUB_OR_TREE
1,2,5.17.2021,balaclava,Prunus laurocerasus,78768,y
1,2,5.17.2021,balaclava,Prunus sp.,20,y
1,2,5.20.2021,bobolink,Crataegus monogyna,161280,y
1,2,5.18.2021,china creek,Aesculus hippocastanum,166320,y
1,2,5.18.2021,china creek,Cornus kousa,34,y
1,2,5.20.2021,falaise,Caltha palustris,22,
1,2,5.20.2021,falaise,Cornus sericea,66234,y
1,2,5.20.2021,falaise,Cytisus scoparius,909,y
1,2,5.20.2021,falaise,Gaultheria shallon,17,y
1,2,5.20.2021,falaise,Lonicera involucrata,1216,y
1,2,5.20.2021,falaise,Maianthemum dilatatum,32,
1,2,5.20.2021,falaise,Physocarpus capitatus,19712,y
1,2,5.20.2021,falaise,Rosa nutkana,161,y
1,2,5.20.2021,falaise,Rubus parviflorus,14,y
1,2,5.20.2021,falaise,Rubus spectabilis,59,y
1,2,5.20.2021,falaise,Rubus spectabilis,21,y
1,2,5.20.2021,falaise,Symphoricarpos albus,2,y
1,2,5.19.2021,gordon,Lupinus polyphyllus,259,
1,2,5.19.2021,gordon,Myosotis sylvatica,96,
1,2,5.19.2021,gordon,Rosa sp.,10,y
1,2,5.19.2021,gordon,Salvia rosmarinus,20,y
1,2,5.19.2021,gordon,Vaccinium corymbosum,70,y
1,2,5.19.2021,gordon,Viburnum plicatum,550,y
1,2,5.18.2021,kensington,Sorbus hybrida,4120,y
1,2,5.17.2021,locarno,Acer circinatum,15498,y
1,2,5.17.2021,locarno,Aesculus hippocastanum,844322,y
1,2,5.17.2021,locarno,Cornus nuttallii,161,y
1,2,5.17.2021,locarno,Crataegus monogyna,273240,y
1,2,5.17.2021,locarno,Cytisus scoparius,315,y
1,2,5.17.2021,locarno,Gaultheria shallon,3917,y
1,2,5.17.2021,locarno,Rhododendron macrophyllum,2491,y
1,2,5.17.2021,locarno,Rubus spectabilis,52,y
1,2,5.18.2021,moberly,Centranthus ruber,38,
1,2,5.18.2021,moberly,Lavandula angustifolia,49,
1,2,5.18.2021,moberly,Myosotis sylvatica,150,
1,2,5.18.2021,moberly,Symphoricarpos albus,132,y
1,2,5.17.2021,oak meadows,Cytisus scoparius,11779,y
1,2,5.17.2021,prince of wales,Acer circinatum,932,y
1,2,5.17.2021,prince of wales,Crataegus douglasii,3550,y
1,2,5.18.2021,queen elizabeth,Acer circinatum,14369,y
1,2,5.18.2021,queen elizabeth,Cornus kousa,291,y
1,2,5.18.2021,queen elizabeth,Hesperis matronalis,41,
1,2,5.18.2021,queen elizabeth,Ilex aquifolium,5096,y
1,2,5.18.2021,queen elizabeth,Laburnum anagyroides,5250,y
1,2,5.17.2021,quilchena,Aesculus hippocastanum,12000,y
1,2,5.17.2021,quilchena,Magnolia X soulangeana,1,y
1,2,5.18.2021,rupert,NA,NA,
1,2,5.20.2021,slocan,NA,NA,
1,2,5.19.2021,memorial south,Aesculus hippocastanum,72128,y
1,2,5.19.2021,memorial south,Cornus sericea,44,y
1,2,5.17.2021,west memorial,Acer circinatum,2304,y
1,2,5.17.2021,west memorial,Gaultheria shallon,504,y
1,2,5.17.2021,west memorial,Ilex aquifolium,6500,y
1,2,5.17.2021,west memorial,Lonicera ciliosa,217,y
1,2,5.17.2021,west memorial,Rubus parviflorus,20,y
1,2,5.17.2021,west memorial,Rubus ursinus,313,y
1,2,5.17.2021,winona,NA,NA,
1,2,5.19.2021,killarney,NA,NA,
1,3,6.2.2021,balaclava,NA,NA,
1,3,6.2.2021,bobolink,NA,NA,
1,3,6.2.2021,china creek,NA,NA,
1,3,6.2.2021,falaise,Gaultheria shallon,130,y
1,3,6.2.2021,falaise,Iris pseudacorus,14,
1,3,6.2.2021,falaise,Lonicera involucrata,864,y
1,3,6.2.2021,falaise,Lupinus polyphyllus,84,
1,3,6.2.2021,falaise,Philadelphus lewisii,108,y
1,3,6.2.2021,falaise,Physocarpus capitatus,44000,y
1,3,6.2.2021,falaise,Rosa nutkana,316,y
1,3,6.2.2021,falaise,Rosa pisocarpa,164,y
1,3,6.2.2021,falaise,Rubus armeniacus,223,y
1,3,6.2.2021,falaise,Rubus parviflorus,152,y
1,3,6.2.2021,falaise,Symphoricarpos albus,2825,y
1,3,6.2.2021,gordon,Aegopodium podagraria,266,
1,3,6.2.2021,gordon,Paeonia officinalis,7,y
1,3,6.2.2021,gordon,Salvia officinalis,1008,
1,3,6.2.2021,kensington,Allium schoenoprasum,84,
1,3,6.2.2021,kensington,Brassica oleracea,10,
1,3,6.2.2021,kensington,Lobularia maritima,364,
1,3,6.2.2021,killarney,NA,NA,
1,3,6.2.2021,locarno,Aesculus hippocastanum,3180,y
1,3,6.2.2021,locarno,Crataegus monogyna,14352,y
1,3,6.2.2021,locarno,Cytisus scoparius,583,y
1,3,6.2.2021,locarno,Gaultheria shallon,1112,y
1,3,6.2.2021,locarno,Rhododendron macrophyllum,952,y
1,3,6.1.2021,moberly,Centranthus ruber,8280,
1,3,6.1.2021,moberly,Lavandula angustifolia,26,
1,3,6.1.2021,moberly,Liriodendron tulipifera,560,y
1,3,6.1.2021,moberly,Symphoricarpos albus,1560,y
1,3,6.1.2021,oak meadows,Cytisus scoparius,353,y
1,3,6.1.2021,oak meadows,Prunus virginiana,3744,y
1,3,6.1.2021,oak meadows,Rubus armeniacus,24,y
1,3,6.2.2021,prince of wales,NA,NA,
1,3,6.1.2021,queen elizabeth,NA,NA,
1,3,6.1.2021,quilchena,Cornus sericea,2340,y
1,3,6.2.2021,slocan,NA,NA,
1,3,6.2.2021,memorial south,Robinia pseudoacacia,295200,y
1,3,6.2.2021,west memorial,Gaultheria shallon,164,y
1,3,6.2.2021,west memorial,Lonicera ciliosa,12,y
1,3,6.2.2021,west memorial,Physocarpus capitatus,4796,y
1,3,6.1.2021,winona,NA,NA,
1,3,6.2.2021,rupert,NA,NA,
1,4,6.22.2021,balaclava,NA,NA,
1,4,6.17.2021,bobolink,NA,NA,
1,4,6.18.2021,china creek,NA,0,
1,4,6.21.2021,falaise,Holodiscus discolor,54375,y
1,4,6.21.2021,falaise,Iris pseudacorus,20,
1,4,6.21.2021,falaise,Philadelphus lewisii,434,y
1,4,6.21.2021,falaise,Rubus armeniacus,6400,y
1,4,6.21.2021,falaise,Spiraea douglasii,65088,y
1,4,6.21.2021,falaise,Symphoricarpos albus,1100,y
1,4,6.21.2021,gordon,Rosa sp.,4,y
1,4,6.21.2021,gordon,Salvia officinalis,105,y
1,4,6.18.2021,kensington,Eschscholzia californica,12,
1,4,6.18.2021,kensington,Lavendula angustifolia,2912,
1,4,6.18.2021,kensington,Lobularia maritima,4980,
1,4,6.17.2021,killarney,NA,NA,
1,4,6.22.2021,locarno,Rhododendron macrophyllum,21,y
1,4,6.22.2021,locarno,Rubus armeniacus,994,y
1,4,6.18.2021,moberly,Centranthus ruber,7200,
1,4,6.18.2021,moberly,Hebe buxifolia,14688,y
1,4,6.18.2021,moberly,Liriodendron tulipifera,696,y
1,4,6.18.2021,moberly,Symphoricarpos albus,1494,y
1,4,6.18.2021,moberly,Tanacetum camphoratum,1518,
1,4,6.17.2021,oak meadows,Lupinus polyphyllus,49660,
1,4,6.17.2021,oak meadows,Rubus armeniacus,402,y
1,4,6.22.2021,prince of wales,NA,NA,
1,4,6.17.2021,queen elizabeth,Cotoneaster lucidus,2112,y
1,4,6.22.2021,quilchena,NA,NA,
1,4,6.22.2021,rupert,NA,NA,
1,4,6.21.2021,slocan,NA,NA,
1,4,6.16.2021,memorial south,NA,NA,
1,4,6.18.2021,west memorial,Gaultheria shallon,277,y
1,4,6.18.2021,west memorial,Physocarpus capitatus,14,y
1,4,6.18.2021,west memorial,Rubus armeniacus,6,y
1,4,6.18.2021,west memorial,Solanum dulcamara,46,
1,4,6.18.2021,winona,NA,NA,
1,5,7.5.2021,balaclava,NA,NA,
1,5,7.5.2021,bobolink,NA,NA,
1,5,7.13.2021,china creek,Spiraea japonica,1500,y
1,5,7.5.2021,falaise,Chamaenerion angustifolium,1056,
1,5,7.5.2021,falaise,Cornus sericea,175,y
1,5,7.5.2021,falaise,Lythrum salicaria,200,
1,5,7.5.2021,falaise,Rubus armeniacus,68,y
1,5,7.5.2021,falaise,Spiraea douglasii,249050,y
1,5,7.5.2021,falaise,Symphoricarpos albus,3040,y
1,5,7.5.2021,gordon,Epilobium canum,64,
1,5,7.5.2021,gordon,Lavandula angustifolia,5600,
1,5,7.5.2021,gordon,Silene coronaria,132,
1,5,7.5.2021,killarney,NA,NA,
1,5,7.6.2021,locarno,Rubus armeniacus,67,y
1,5,7.6.2021,locarno,Stellaria media,477,
