FLOWER_UNIQUE_ID,SITE,SITE_TREATMENT,POT_NUMBER,PLANT_NUMBER,FLOWER_TREATMENT,SEEDS_PRODUCED,BOTH_FLOWERS_OPEN_AND_POLLEN_APPLIED,BOTH_CAPSULES_RECOVERED,COUNT_NOTES,PL,PL_INDEX,DATE_PLACED_AT_SITE,DATE_RETURNED,DATE_FLOWER_OPEN_CONFIRMED,DATE_POLLEN_APPLIED,TREATMENT_NOTES
18,west memorial,treatment,3,1,treatment,95,Y,Y,NA,0.326315789,0.673684211,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
19,west memorial,treatment,3,2,control,113,Y,Y,NA,0.042372881,0.957627119,6.29.2022,7.7.2022,7.1.2022,NA,NA
20,west memorial,treatment,3,2,treatment,118,Y,Y,NA,0.042372881,0.957627119,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
21,west memorial,treatment,3,3,control,NA,Y,N,no packet,1,0,6.29.2022,7.7.2022,7.1.2022,NA,NA
22,west memorial,treatment,3,3,treatment,129,Y,N,NA,1,0,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
23,west memorial,treatment,3,4,control,27,Y,Y,NA,0.756756757,0.243243243,6.29.2022,7.7.2022,7.1.2022,NA,NA
24,west memorial,treatment,3,4,treatment,111,Y,Y,NA,0.756756757,0.243243243,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
25,west memorial,treatment,4,1,control,0,Y,Y,NA,1,0,6.29.2022,7.7.2022,7.5.2022,NA,NA
26,west memorial,treatment,4,1,treatment,85,Y,Y,NA,1,0,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
27,west memorial,treatment,4,2,control,18,Y,Y,NA,0.810526316,0.189473684,6.29.2022,7.7.2022,7.5.2022,NA,NA
28,west memorial,treatment,4,2,treatment,95,Y,Y,NA,0.810526316,0.189473684,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
29,west memorial,treatment,4,3,control,94,Y,Y,NA,-0.08045977,1.08045977,6.29.2022,7.7.2022,7.5.2022,NA,NA
30,west memorial,treatment,4,3,treatment,87,Y,Y,NA,-0.08045977,1.08045977,6.29.2022,7.7.2022,7.7.2022,7.7.2022,NA
31,west memorial,treatment,4,4,control,23,Y,Y,NA,0.54,0.46,6.29.2022,7.7.2022,7.5.2022,NA,NA
32,west memorial,treatment,4,4,treatment,50,Y,Y,NA,0.54,0.46,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
33,west memorial,treatment,5,1,control,NA,N,N,no packet,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,NA,NA,NA
34,west memorial,treatment,5,1,treatment,NA,N,N,no packet,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,NA,NA,NA
35,west memorial,treatment,5,2,control,NA,N,N,no packet,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,NA,NA,NA
36,west memorial,treatment,5,2,treatment,NA,N,N,no packet,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,NA,NA,NA
37,west memorial,treatment,5,3,control,NA,N,N,no packet,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,NA,NA,NA
38,west memorial,treatment,5,3,treatment,NA,N,N,no packet,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,NA,NA,NA
39,west memorial,treatment,5,4,control,NA,N,N,no packet,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,NA,NA,NA
40,west memorial,treatment,5,4,treatment,NA,N,N,no packet,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,NA,NA,NA
41,west memorial,treatment,6,1,control,20,Y,Y,NA,0.710144928,0.289855072,6.29.2022,7.7.2022,7.5.2022,NA,NA
42,west memorial,treatment,6,1,treatment,69,Y,Y,NA,0.710144928,0.289855072,6.29.2022,7.7.2022,7.7.2022,7.7.2022,NA
43,west memorial,treatment,6,2,control,92,Y,Y,NA,0.070707071,0.929292929,6.29.2022,7.7.2022,7.1.2022,NA,NA
44,west memorial,treatment,6,2,treatment,99,Y,Y,NA,0.070707071,0.929292929,6.29.2022,7.7.2022,7.7.2022,7.7.2022,NA
45,west memorial,treatment,6,3,control,77,Y,Y,NA,0.306306306,0.693693694,6.29.2022,7.7.2022,7.5.2022,NA,NA
46,west memorial,treatment,6,3,treatment,111,Y,Y,NA,0.306306306,0.693693694,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
47,west memorial,treatment,6,4,control,99,N,Y,NA,-1.911764706,2.911764706,6.29.2022,7.7.2022,NA,NA,NA
48,west memorial,treatment,6,4,treatment,34,N,Y,NA,-1.911764706,2.911764706,6.29.2022,7.7.2022,7.5.2022,NA,NA
49,quilchena,control,7,1,control,113,Y,Y,NA,-0.527027027,1.527027027,6.29.2022,7.7.2022,7.5.2022,NA,NA
50,quilchena,control,7,1,treatment,74,Y,Y,NA,-0.527027027,1.527027027,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
51,quilchena,control,7,2,control,58,Y,Y,NA,0.408163265,0.591836735,6.29.2022,7.7.2022,7.5.2022,NA,NA
52,quilchena,control,7,2,treatment,98,Y,Y,NA,0.408163265,0.591836735,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
53,quilchena,control,7,3,control,79,Y,Y,NA,-0.012820513,1.012820513,6.29.2022,7.7.2022,7.5.2022,NA,NA
54,quilchena,control,7,3,treatment,78,Y,Y,NA,-0.012820513,1.012820513,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
55,quilchena,control,7,4,control,56,N,Y,NA,0.176470588,0.823529412,6.29.2022,7.7.2022,7.5.2022,NA,NA
56,quilchena,control,7,4,treatment,68,N,Y,NA,0.176470588,0.823529412,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
57,quilchena,control,8,1,control,79,Y,Y,NA,0.300884956,0.699115044,6.29.2022,7.7.2022,7.1.2022,NA,NA
58,quilchena,control,8,1,treatment,113,Y,Y,NA,0.300884956,0.699115044,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
59,quilchena,control,8,2,control,59,Y,Y,NA,0.2625,0.7375,6.29.2022,7.7.2022,7.5.2022,NA,NA
60,quilchena,control,8,2,treatment,80,Y,Y,NA,0.2625,0.7375,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
61,quilchena,control,8,3,control,105,Y,Y,NA,0.198473282,0.801526718,6.29.2022,7.7.2022,7.1.2022,NA,NA
62,quilchena,control,8,3,treatment,131,Y,Y,NA,0.198473282,0.801526718,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
63,quilchena,control,8,4,control,43,Y,Y,NA,0.402777778,0.597222222,6.29.2022,7.7.2022,7.1.2022,NA,NA
64,quilchena,control,8,4,treatment,72,Y,Y,NA,0.402777778,0.597222222,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
65,quilchena,control,9,1,control,19,Y,Y,NA,0.746666667,0.253333333,6.29.2022,7.7.2022,7.5.2022,NA,NA
66,quilchena,control,9,1,treatment,75,Y,Y,NA,0.746666667,0.253333333,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
67,quilchena,control,9,2,control,3,N,Y,NA,0.875,0.125,6.29.2022,7.7.2022,NA,NA,NA
68,quilchena,control,9,2,treatment,24,N,Y,NA,0.875,0.125,6.29.2022,7.7.2022,7.8.2022,7.8.2022,NA
69,quilchena,control,9,3,control,26,Y,Y,NA,0.767857143,0.232142857,6.29.2022,7.7.2022,7.7.2022,NA,NA
70,quilchena,control,9,3,treatment,112,Y,Y,NA,0.767857143,0.232142857,6.29.2022,7.7.2022,7.8.2022,7.8.2022,NA
71,quilchena,control,9,4,control,31,Y,Y,NA,0.659340659,0.340659341,6.29.2022,7.7.2022,7.5.2022,NA,NA
72,quilchena,control,9,4,treatment,91,Y,Y,NA,0.659340659,0.340659341,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
73,quilchena,control,10,1,control,14,Y,Y,NA,0.754385965,0.245614035,6.29.2022,7.7.2022,7.5.2022,NA,NA
74,quilchena,control,10,1,treatment,57,Y,Y,NA,0.754385965,0.245614035,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
75,quilchena,control,10,2,control,3,Y,N,NA,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,NA,NA
76,quilchena,control,10,2,treatment,0,Y,N,seed pod missing,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
77,quilchena,control,10,3,control,19,N,N,NA,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,NA,NA,NA
78,quilchena,control,10,3,treatment,NA,N,N,no packet,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,NA,NA,NA
79,quilchena,control,10,4,control,NA,N,N,no packet,1,0,6.29.2022,7.7.2022,NA,NA,NA
80,quilchena,control,10,4,treatment,67,N,N,NA,1,0,6.29.2022,7.7.2022,NA,NA,NA
81,quilchena,control,11,1,control,110,Y,Y,NA,0.153846154,0.846153846,6.29.2022,7.7.2022,7.1.2022,NA,NA
82,quilchena,control,11,1,treatment,130,Y,Y,NA,0.153846154,0.846153846,6.29.2022,7.7.2022,7.7.2022,7.7.2022,NA
83,quilchena,control,11,2,control,12,Y,Y,NA,0.901639344,0.098360656,6.29.2022,7.7.2022,7.1.2022,NA,NA
84,quilchena,control,11,2,treatment,122,Y,Y,NA,0.901639344,0.098360656,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
85,quilchena,control,11,3,control,93,Y,Y,NA,0.35862069,0.64137931,6.29.2022,7.7.2022,7.7.2022,NA,NA
86,quilchena,control,11,3,treatment,145,Y,Y,NA,0.35862069,0.64137931,6.29.2022,7.7.2022,7.7.2022,7.7.2022,NA
87,quilchena,control,11,4,control,0,Y,Y,NA,1,0,6.29.2022,7.7.2022,7.1.2022,NA,NA
88,quilchena,control,11,4,treatment,124,Y,Y,NA,1,0,6.29.2022,7.7.2022,7.8.2022,7.8.2022,NA
89,quilchena,control,12,1,control,115,Y,Y,NA,-0.173469388,1.173469388,6.29.2022,7.7.2022,7.1.2022,NA,NA
90,quilchena,control,12,1,treatment,98,Y,Y,NA,-0.173469388,1.173469388,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
91,quilchena,control,12,2,control,15,Y,Y,NA,0.85,0.15,6.29.2022,7.7.2022,7.1.2022,NA,NA
92,quilchena,control,12,2,treatment,100,Y,Y,NA,0.85,0.15,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
93,quilchena,control,12,3,control,59,Y,Y,NA,0.486956522,0.513043478,6.29.2022,7.7.2022,7.1.2022,NA,NA
94,quilchena,control,12,3,treatment,115,Y,Y,NA,0.486956522,0.513043478,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
95,quilchena,control,12,4,control,23,Y,Y,NA,0.762886598,0.237113402,6.29.2022,7.7.2022,7.1.2022,NA,NA
96,quilchena,control,12,4,treatment,97,Y,Y,NA,0.762886598,0.237113402,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
97,balaclava,control,13,1,control,78,Y,Y,NA,0.257142857,0.742857143,6.29.2022,7.7.2022,7.7.2022,NA,NA
98,balaclava,control,13,1,treatment,105,Y,Y,NA,0.257142857,0.742857143,6.29.2022,7.7.2022,7.8.2022,7.8.2022,NA
99,balaclava,control,13,2,control,136,Y,Y,NA,-0.259259259,1.259259259,6.29.2022,7.7.2022,7.5.2022,NA,NA
100,balaclava,control,13,2,treatment,108,Y,Y,NA,-0.259259259,1.259259259,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
101,balaclava,control,13,3,control,88,Y,Y,NA,-3.4,4.4,6.29.2022,7.7.2022,7.7.2022,NA,NA
102,balaclava,control,13,3,treatment,20,Y,Y,NA,-3.4,4.4,6.29.2022,7.7.2022,7.9.2022,7.9.2022,NA
103,balaclava,control,13,4,control,NA,N,Y,NA,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,NA,NA,NA
104,balaclava,control,13,4,treatment,NA,N,Y,NA,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,7.7.2022,NA,NA
105,balaclava,control,14,1,control,0,Y,Y,NA,1,0,6.29.2022,7.7.2022,7.5.2022,NA,NA
106,balaclava,control,14,1,treatment,134,Y,Y,NA,1,0,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
107,balaclava,control,14,2,control,80,Y,Y,NA,0.259259259,0.740740741,6.29.2022,7.7.2022,7.5.2022,NA,NA
108,balaclava,control,14,2,treatment,108,Y,Y,NA,0.259259259,0.740740741,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
109,balaclava,control,14,3,control,104,Y,Y,NA,0.095652174,0.904347826,6.29.2022,7.7.2022,7.1.2022,NA,NA
110,balaclava,control,14,3,treatment,115,Y,Y,NA,0.095652174,0.904347826,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
111,balaclava,control,14,4,control,122,Y,Y,NA,-0.070175439,1.070175439,6.29.2022,7.7.2022,7.5.2022,NA,NA
112,balaclava,control,14,4,treatment,114,Y,Y,NA,-0.070175439,1.070175439,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
113,balaclava,control,15,1,control,43,Y,Y,NA,-0.048780488,1.048780488,6.29.2022,7.7.2022,7.1.2022,NA,NA
114,balaclava,control,15,1,treatment,41,Y,Y,NA,-0.048780488,1.048780488,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
115,balaclava,control,15,2,control,0,Y,N,NA,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,NA,NA
116,balaclava,control,15,2,treatment,NA,Y,N,no packet,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
117,balaclava,control,15,3,control,98,Y,Y,NA,-0.126436782,1.126436782,6.29.2022,7.7.2022,7.5.2022,NA,NA
118,balaclava,control,15,3,treatment,87,Y,Y,NA,-0.126436782,1.126436782,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
119,balaclava,control,15,4,control,98,Y,N,NA,-0.462686567,1.462686567,6.29.2022,7.7.2022,7.1.2022,NA,NA
120,balaclava,control,15,4,treatment,67,Y,N,NA,-0.462686567,1.462686567,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
121,balaclava,control,16,1,control,41,Y,N,NA,0.623853211,0.376146789,6.29.2022,7.7.2022,7.5.2022,NA,NA
122,balaclava,control,16,1,treatment,109,Y,N,NA,0.623853211,0.376146789,6.29.2022,7.7.2022,7.8.2022,7.8.2022,NA
123,balaclava,control,16,2,control,42,N,Y,NA,0.6,0.4,6.29.2022,7.7.2022,NA,NA,NA
124,balaclava,control,16,2,treatment,105,N,Y,NA,0.6,0.4,6.29.2022,7.7.2022,NA,NA,NA
125,balaclava,control,16,3,control,115,Y,Y,NA,-0.210526316,1.210526316,6.29.2022,7.7.2022,7.5.2022,NA,NA
126,balaclava,control,16,3,treatment,95,Y,Y,NA,-0.210526316,1.210526316,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
127,balaclava,control,16,4,control,70,Y,Y,NA,-0.09375,1.09375,6.29.2022,7.7.2022,7.5.2022,NA,NA
128,balaclava,control,16,4,treatment,64,Y,Y,NA,-0.09375,1.09375,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
129,balaclava,control,17,1,control,64,Y,Y,NA,0.280898876,0.719101124,6.29.2022,7.7.2022,7.1.2022,NA,NA
130,balaclava,control,17,1,treatment,89,Y,Y,NA,0.280898876,0.719101124,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
131,balaclava,control,17,2,control,123,Y,Y,NA,-0.366666667,1.366666667,6.29.2022,7.7.2022,7.1.2022,NA,NA
132,balaclava,control,17,2,treatment,90,Y,Y,NA,-0.366666667,1.366666667,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
133,balaclava,control,17,3,control,110,Y,Y,NA,0.051724138,0.948275862,6.29.2022,7.7.2022,7.1.2022,NA,NA
134,balaclava,control,17,3,treatment,116,Y,Y,NA,0.051724138,0.948275862,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
135,balaclava,control,17,4,control,82,Y,N,NA,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,NA,NA
136,balaclava,control,17,4,treatment,NA,Y,N,no packet,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
137,balaclava,control,18,1,control,105,Y,Y,NA,-0.05,1.05,6.29.2022,7.7.2022,7.1.2022,NA,NA
138,balaclava,control,18,1,treatment,100,Y,Y,NA,-0.05,1.05,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
139,balaclava,control,18,2,control,105,Y,Y,NA,0.078947368,0.921052632,6.29.2022,7.7.2022,7.1.2022,NA,NA
140,balaclava,control,18,2,treatment,114,Y,Y,NA,0.078947368,0.921052632,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
141,balaclava,control,18,3,control,128,Y,Y,NA,-0.132743363,1.132743363,6.29.2022,7.7.2022,7.5.2022,NA,NA
142,balaclava,control,18,3,treatment,113,Y,Y,NA,-0.132743363,1.132743363,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
143,balaclava,control,18,4,control,100,Y,Y,NA,0.115044248,0.884955752,6.29.2022,7.7.2022,7.1.2022,NA,NA
144,balaclava,control,18,4,treatment,113,Y,Y,NA,0.115044248,0.884955752,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
145,prince of wales,treatment,19,1,control,41,Y,Y,NA,0.438356164,0.561643836,6.29.2022,7.7.2022,7.5.2022,NA,NA
146,prince of wales,treatment,19,1,treatment,73,Y,Y,NA,0.438356164,0.561643836,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
147,prince of wales,treatment,19,2,control,58,Y,Y,NA,0.205479452,0.794520548,6.29.2022,7.7.2022,7.5.2022,NA,NA
148,prince of wales,treatment,19,2,treatment,73,Y,Y,NA,0.205479452,0.794520548,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
149,prince of wales,treatment,19,3,control,87,Y,Y,NA,-0.208333333,1.208333333,6.29.2022,7.7.2022,7.5.2022,NA,NA
150,prince of wales,treatment,19,3,treatment,72,Y,Y,NA,-0.208333333,1.208333333,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
151,prince of wales,treatment,19,4,control,38,Y,Y,NA,0.6,0.4,6.29.2022,7.7.2022,7.1.2022,NA,NA
152,prince of wales,treatment,19,4,treatment,95,Y,Y,NA,0.6,0.4,6.29.2022,7.7.2022,7.7.2022,7.7.2022,NA
153,prince of wales,treatment,20,1,control,87,Y,Y,NA,0.112244898,0.887755102,6.29.2022,7.7.2022,7.5.2022,NA,NA
154,prince of wales,treatment,20,1,treatment,98,Y,Y,NA,0.112244898,0.887755102,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
155,prince of wales,treatment,20,2,control,114,Y,Y,NA,-0.008849558,1.008849558,6.29.2022,7.7.2022,7.5.2022,NA,NA
156,prince of wales,treatment,20,2,treatment,113,Y,Y,NA,-0.008849558,1.008849558,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
157,prince of wales,treatment,20,3,control,42,Y,Y,NA,0.487804878,0.512195122,6.29.2022,7.7.2022,7.1.2022,NA,NA
158,prince of wales,treatment,20,3,treatment,82,Y,Y,NA,0.487804878,0.512195122,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
159,prince of wales,treatment,20,4,control,110,Y,Y,NA,0.166666667,0.833333333,6.29.2022,7.7.2022,7.1.2022,NA,NA
160,prince of wales,treatment,20,4,treatment,132,Y,Y,NA,0.166666667,0.833333333,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
161,prince of wales,treatment,21,1,control,126,Y,Y,NA,0.066666667,0.933333333,6.29.2022,7.7.2022,7.5.2022,NA,NA
162,prince of wales,treatment,21,1,treatment,135,Y,Y,NA,0.066666667,0.933333333,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
163,prince of wales,treatment,21,2,control,115,Y,Y,NA,-0.036036036,1.036036036,6.29.2022,7.7.2022,7.1.2022,NA,NA
164,prince of wales,treatment,21,2,treatment,111,Y,Y,NA,-0.036036036,1.036036036,6.29.2022,7.7.2022,7.7.2022,7.7.2022,NA
165,prince of wales,treatment,21,3,control,102,Y,Y,NA,0.23880597,0.76119403,6.29.2022,7.7.2022,7.5.2022,NA,NA
166,prince of wales,treatment,21,3,treatment,134,Y,Y,NA,0.23880597,0.76119403,6.29.2022,7.7.2022,7.7.2022,7.7.2022,NA
167,prince of wales,treatment,21,4,control,101,Y,Y,NA,-3.04,4.04,6.29.2022,7.7.2022,7.1.2022,NA,NA
168,prince of wales,treatment,21,4,treatment,25,Y,Y,NA,-3.04,4.04,6.29.2022,7.7.2022,7.7.2022,7.7.2022,NA
169,prince of wales,treatment,22,1,control,10,Y,Y,NA,0.84375,0.15625,6.29.2022,7.7.2022,7.5.2022,NA,NA
170,prince of wales,treatment,22,1,treatment,64,Y,Y,NA,0.84375,0.15625,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
171,prince of wales,treatment,22,2,control,81,N,N,NA,-3.263157895,4.263157895,6.29.2022,7.7.2022,NA,NA,NA
172,prince of wales,treatment,22,2,treatment,19,N,N,NA,-3.263157895,4.263157895,6.29.2022,7.7.2022,NA,NA,NA
173,prince of wales,treatment,22,3,control,44,N,N,NA,0.343283582,0.656716418,6.29.2022,7.7.2022,NA,NA,NA
174,prince of wales,treatment,22,3,treatment,67,N,N,NA,0.343283582,0.656716418,6.29.2022,7.7.2022,NA,NA,NA
175,prince of wales,treatment,22,4,control,NA,N,N,no packet,1,0,6.29.2022,7.7.2022,NA,NA,NA
176,prince of wales,treatment,22,4,treatment,10,N,N,NA,1,0,6.29.2022,7.7.2022,NA,NA,NA
177,prince of wales,treatment,23,1,control,44,Y,Y,NA,0.456790123,0.543209877,6.29.2022,7.7.2022,7.5.2022,NA,NA
178,prince of wales,treatment,23,1,treatment,81,Y,Y,NA,0.456790123,0.543209877,6.29.2022,7.7.2022,7.8.2022,7.8.2022,NA
179,prince of wales,treatment,23,2,control,107,Y,Y,NA,-0.304878049,1.304878049,6.29.2022,7.7.2022,7.1.2022,NA,NA
180,prince of wales,treatment,23,2,treatment,82,Y,Y,NA,-0.304878049,1.304878049,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
181,prince of wales,treatment,23,3,control,77,Y,Y,NA,-0.069444444,1.069444444,6.29.2022,7.7.2022,7.5.2022,NA,NA
182,prince of wales,treatment,23,3,treatment,72,Y,Y,NA,-0.069444444,1.069444444,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
183,prince of wales,treatment,23,4,control,13,N,Y,NA,0.858695652,0.141304348,6.29.2022,7.7.2022,NA,NA,NA
184,prince of wales,treatment,23,4,treatment,92,N,Y,NA,0.858695652,0.141304348,6.29.2022,7.7.2022,NA,NA,NA
185,prince of wales,treatment,24,1,control,86,Y,Y,NA,-1.205128205,2.205128205,6.29.2022,7.7.2022,7.5.2022,NA,NA
186,prince of wales,treatment,24,1,treatment,39,Y,Y,NA,-1.205128205,2.205128205,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
187,prince of wales,treatment,24,2,control,84,Y,Y,NA,-0.527272727,1.527272727,6.29.2022,7.7.2022,7.1.2022,NA,NA
188,prince of wales,treatment,24,2,treatment,55,Y,Y,NA,-0.527272727,1.527272727,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
189,prince of wales,treatment,24,3,control,26,Y,Y,NA,0.726315789,0.273684211,6.29.2022,7.7.2022,7.1.2022,NA,NA
190,prince of wales,treatment,24,3,treatment,95,Y,Y,NA,0.726315789,0.273684211,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
191,prince of wales,treatment,24,4,control,85,N,N,NA,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,NA,NA,NA
192,prince of wales,treatment,24,4,treatment,0,N,N,seed pod split before collection,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
193,locarno,treatment,25,1,control,49,Y,Y,NA,0.155172414,0.844827586,6.30.2022,7.7.2022,7.5.2022,NA,NA
194,locarno,treatment,25,1,treatment,58,Y,Y,NA,0.155172414,0.844827586,6.30.2022,7.7.2022,7.5.2022,7.5.2022,NA
195,locarno,treatment,25,2,control,NA,N,N,no packet,1,0,6.30.2022,7.7.2022,NA,NA,NA
196,locarno,treatment,25,2,treatment,46,N,N,NA,1,0,6.30.2022,7.7.2022,NA,NA,NA
197,locarno,treatment,25,3,control,NA,N,N,no packet,#DIV/0!,#DIV/0!,6.30.2022,7.7.2022,NA,NA,NA
198,locarno,treatment,25,3,treatment,NA,N,N,no packet,#DIV/0!,#DIV/0!,6.30.2022,7.7.2022,NA,NA,NA
199,locarno,treatment,25,4,control,NA,N,N,no packet,#DIV/0!,#DIV/0!,6.30.2022,7.7.2022,NA,NA,NA
