FLOWER_UNIQUE_ID,SITE,SITE_TREATMENT,POT_NUMBER,PLANT_NUMBER,FLOWER_TREATMENT,SEEDS_PRODUCED,BOTH_FLOWERS_OPEN_AND_POLLEN_APPLIED,BOTH_CAPSULES_RECOVERED,COUNT_NOTES,PL,PL_INDEX,DATE_PLACED_AT_SITE,DATE_RETURNED,DATE_FLOWER_OPEN_CONFIRMED,DATE_POLLEN_APPLIED,TREATMENT_NOTES
1,west memorial,treatment,1,1,control,108,Y,Y,NA,-2.857142857,3.857142857,6.29.2022,7.7.2022,7.5.2022,NA,NA
2,west memorial,treatment,1,1,treatment,28,Y,Y,NA,-2.857142857,3.857142857,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
3,west memorial,treatment,1,2,control,22,Y,Y,NA,0.765957447,0.234042553,6.29.2022,7.7.2022,7.5.2022,NA,NA
4,west memorial,treatment,1,2,treatment,94,Y,Y,NA,0.765957447,0.234042553,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
5,west memorial,treatment,1,3,control,13,Y,Y,NA,0.87254902,0.12745098,6.29.2022,7.7.2022,7.5.2022,NA,NA
6,west memorial,treatment,1,3,treatment,102,Y,Y,NA,0.87254902,0.12745098,6.29.2022,7.7.2022,7.7.2022,7.7.2022,NA
7,west memorial,treatment,1,4,control,0,Y,Y,NA,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,NA,NA
8,west memorial,treatment,1,4,treatment,0,Y,Y,NA,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,7.1.2022,NA
9,west memorial,treatment,2,1,control,13,Y,Y,NA,-1.166666667,2.166666667,6.29.2022,7.7.2022,7.5.2022,NA,NA
10,west memorial,treatment,2,1,treatment,6,Y,Y,NA,-1.166666667,2.166666667,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
11,west memorial,treatment,2,2,control,73,Y,Y,NA,-0.921052632,1.921052632,6.29.2022,7.7.2022,7.5.2022,NA,NA
12,west memorial,treatment,2,2,treatment,38,Y,Y,NA,-0.921052632,1.921052632,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
13,west memorial,treatment,2,3,control,111,N,Y,NA,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,NA,NA,NA
14,west memorial,treatment,2,3,treatment,0,N,Y,NA,#DIV/0!,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,NA,NA
15,west memorial,treatment,2,4,control,NA,Y,N,two pods in seed packet,1,0,6.29.2022,7.7.2022,7.5.2022,NA,NA
16,west memorial,treatment,2,4,treatment,71,Y,N,NA,1,0,6.29.2022,7.7.2022,7.5.2022,7.5.2022,NA
17,west memorial,treatment,3,1,control,64,Y,Y,NA,0.326315789,0.673684211,6.29.2022,7.7.2022,7.1.2022,NA,NA
