Buds_per_plant
5
3
4
5
4
5
4
11
7
12
6
8
4
14
11
11
8
6
5
2
3
3
2
2
6
4
3
5
5
4
0
4
5
4
2
2
5
8
2
3
9
4
4
4
8
8
3
6
6
1
6
7
10
7
7
3
3
4
8
6
5
3
2
3
2
2
5
6
4
2
4
6
3
5
7
4
6
9
11
10
13
8
7
8
