clade,species_names,total_detections,phenology_peak_mean_estimate,phenology_decay_mean_estimate,degree,normalised.degree,d,degree_scaled,normalised.degree_scaled,d_scaled,degree_supplemented,normalised.degree_supplemented,d_supplemented,degree_scaled_supplemented,normalised.degree_scaled_supplemented,d_scaled_supplemented,degree_supplemented_genus,normalised.degree_supplemented_genus,d_supplemented_genus,degree_scaled_supplemented_genus,normalised.degree_scaled_supplemented_genus,d_scaled_supplemented_genus
Anthophila,Sphecodes clematidis (morph),6,1.341866651,-0.959723308,3,0.025,0.302078204,-0.613792884,-0.613792884,0.074991746,3,0.007874016,0.360940371,-0.685319377,-0.685319377,0.326398285,3,0.011320755,0.359090146,-0.714190362,-0.714190362,0.509863001
Syrphidae,Spilomyia citima,5,1.677803701,-0.750147261,3,0.025,0.1356977,-0.613792884,-0.613792884,-0.998193621,3,0.007874016,0.188930089,-0.685319377,-0.685319377,-0.911443474,3,0.011320755,0.203882588,-0.714190362,-0.714190362,-0.711696101
Syrphidae,Syritta pipiens,48,0.934466514,-0.228488535,26,0.216666667,0.333039933,1.918867456,1.918867456,0.274700684,49,0.128608924,0.407100109,0.806646734,0.806646734,0.658578725,48,0.181132075,0.396169849,1.083305837,1.083305837,0.801698334
Syrphidae,Syrphus latifasciatus,1,1.061957978,-0.670961497,1,0.008333333,0.17942722,-0.834024218,-0.834024218,-0.71613004,1,0.002624672,0.156627116,-0.750187468,-0.750187468,-1.143906139,1,0.003773585,0.183219877,-0.794079082,-0.794079082,-0.874321701
Syrphidae,Syrphus opinator,26,0.420966263,-0.103931498,13,0.108333333,0.178530986,0.487363785,0.487363785,-0.721910917,32,0.083989501,0.172796093,0.255267954,0.255267954,-1.027548941,28,0.105660377,0.166259518,0.284418637,0.284418637,-1.007807995
Syrphidae,Syrphus ribesii,3,0.066387944,-0.072303388,2,0.016666667,0.442914838,-0.723908551,-0.723908551,0.983414368,8,0.020997375,0.198831723,-0.523149147,-0.523149147,-0.840188107,8,0.030188679,0.1707354,-0.514468562,-0.514468562,-0.97258062
Syrphidae,Syrphus torvus,2,-0.705012153,-0.710787292,2,0.016666667,0.557204887,-0.723908551,-0.723908551,1.720606559,2,0.005249344,0.55445369,-0.717753423,-0.717753423,1.718982876,2,0.00754717,0.378835584,-0.754134722,-0.754134722,0.665269217
Syrphidae,Syrphus vitripennis,1,0.598507579,-0.986776941,1,0.008333333,0.441425015,-0.834024218,-0.834024218,0.973804731,1,0.002624672,0.46911008,-0.750187468,-0.750187468,1.104822583,1,0.003773585,0.502503759,-0.794079082,-0.794079082,1.638598007
Syrphidae,Toxomerus marginatus,37,2.009076947,-1.13250115,16,0.133333333,0.201092673,0.817710786,0.817710786,-0.576383814,21,0.05511811,0.287440194,-0.101506551,-0.101506551,-0.20253282,21,0.079245283,0.266197835,0.004808117,0.004808117,-0.221244742
Syrphidae,Toxomerus occidentalis,6,0.308006577,-0.520059961,6,0.05,0.098065837,-0.283445883,-0.283445883,-1.240926172,32,0.083989501,0.198100747,0.255267954,0.255267954,-0.845448446,27,0.101886792,0.161428561,0.244474277,0.244474277,-1.045829977
