TCCIS_ID,DBUID,CC2020_m2,IMP2020_m2,PPA_Total_,PPA_Veg_20,PPA_Imp_20,CC2014_m2,IMP2014_m2,PPA_Total1,PPA_Veg_21,PPA_Imp_21,CC2020_per,Imp2020_pe,PPA_Tota_1,PPA_Veg_22,PPA_Imp_22,CC2014_per,Imp2014_pe,PPA_Tota_2,PPA_Veg_23,PPA_Imp_23,CC_per_cha,Imp_per_ch,PPA_Tota_3,PPA_Veg_pe,PPA_Imp_pe,created_us,created_da,last_edite,last_edi_1,GlobalID,field_1,site,latitude,longitude,category,mean_herb_scaled,mean_woody_scaled,mean_herb,mean_woody,field_1_2,area,perimeter
3494,59150900002,10683,13182.5,4725,1095,3630,7647,15041.1,3782,2307,1475,42.8726222,52.90352356,18.962196,4.39441368,14.56778233,30.692354,60.36965683,15.17961068,9.25948224,5.92012844,12.1802682,-7.46613328,3.78258533,-4.86506856,8.64765389,mvagoladmin,4/4/2024,mvagoladmin,4/4/2024,795bc80b-016a-4d0b-b1e6-3d384766b668,7,balaclava,49.244985,-123.175155,comparison,-1.105031032,0.50862944,3.799243287,2.501127787,7,5411.676733,335.5627891
3495,59150900003,14895,8220.1,4119,2290,1829,9971,14155.2,2958,1333,1625,58.75971439,32.42770918,16.2491617,9.03388694,7.21527476,39.32557681,55.82804181,11.666338,5.25734569,6.40899231,19.43413758,-23.40033263,4.5828237,3.77654125,0.80628246,mvagoladmin,4/4/2024,mvagoladmin,4/4/2024,22bf7f58-bfd6-4801-9de2-d6831e7c436e,7,balaclava,49.244985,-123.175155,comparison,-1.105031032,0.50862944,3.799243287,2.501127787,7,16206.66313,529.8723428
3496,59150900004,17106,6524,3661,1597,2064,13677,11329,1445,195,1250,67.88903441,25.89197127,14.52950748,6.33805612,8.19145136,54.31691819,44.99205719,5.73868149,0.77442415,4.96425735,13.57211622,-19.10008592,8.79082599,5.56363197,3.22719402,mvagoladmin,4/4/2024,mvagoladmin,4/4/2024,59125cce-0be5-4d3a-a8d9-753991fc2b07,7,balaclava,49.244985,-123.175155,comparison,-1.105031032,0.50862944,3.799243287,2.501127787,7,21722.18389,630.2607901
3497,59150901001,14177,11154.5,3382,741,2641,11550,13226.5,3210,1335,1875,54.38468621,42.79001074,12.97376093,2.8425656,10.13119534,44.35824564,50.79691221,12.3281358,5.1271219,7.2010139,10.02644056,-8.00690146,0.64562513,-2.2845563,2.93018143,mvagoladmin,4/4/2024,mvagoladmin,4/4/2024,bead3bb8-f90f-465d-8e29-bf16e6282764,7,balaclava,49.244985,-123.175155,comparison,-1.105031032,0.50862944,3.799243287,2.501127787,7,25381.15177,687.4340608
3498,59150901002,11855,11940.5,5086,1496,3590,8535,15339.5,4155,1355,2800,46.92633496,47.26477457,20.13220916,5.92170368,14.21050548,33.75385589,60.6640038,16.43201772,5.35869651,11.07332121,13.17247907,-13.39922923,3.70019144,0.56300717,3.13718428,mvagoladmin,4/4/2024,mvagoladmin,4/4/2024,1c639ebb-a43f-494b-84b1-9682e04f7cc4,7,balaclava,49.244985,-123.175155,comparison,-1.105031032,0.50862944,3.799243287,2.501127787,7,25080.20276,686.2048122
3499,59150901003,9575,12008.2,6044,4053,1991,8500,14104.8,6412,3337,3075,37.54018662,47.07990277,23.69638516,15.89037873,7.80600643,33.28373404,55.2306367,25.10768267,13.06680241,12.04088026,4.25645258,-8.15073393,-1.4112975,2.82357632,-4.23487383,mvagoladmin,4/4/2024,mvagoladmin,4/4/2024,d9c3011d-5744-477d-a7ec-33eea3ba00e1,7,balaclava,49.244985,-123.175155,comparison,-1.105031032,0.50862944,3.799243287,2.501127787,7,23717.53901,655.7706236
3500,59150901004,9582,12702,6042,2974,3068,8016,13729.95,6098,4073,2025,38.10697952,50.51501293,24.02863392,11.82740107,12.20123285,31.73145436,54.3502098,24.13902304,16.12303064,8.0159924,6.37552516,-3.83519688,-0.11038912,-4.29562957,4.18524045,mvagoladmin,4/4/2024,mvagoladmin,4/4/2024,d377164b-091a-41c6-babb-2c61045ada9e,7,balaclava,49.244985,-123.175155,comparison,-1.105031032,0.50862944,3.799243287,2.501127787,7,18559.42386,577.2060322
3501,59150902001,10520,13426.6,4856,1625,3231,6893,17270.3,5741,1216,4525,41.19512864,52.57704507,19.01554607,6.36331597,12.6522301,26.97847358,67.59412916,22.46966732,4.7592955,17.71037182,14.21665506,-15.01708409,-3.45412125,1.60402047,-5.05814172,mvagoladmin,4/4/2024,mvagoladmin,4/4/2024,8e631221-33df-4067-a130-0679cd0bb796,7,balaclava,49.244985,-123.175155,comparison,-1.105031032,0.50862944,3.799243287,2.501127787,7,12536.2873,487.0178453
3502,59150902002,8887,14822.7,4920,1529,3391,6976,16657,5244,1594,3650,35.30229602,58.88098832,19.54397394,6.07372686,13.47024708,27.69462861,66.12807178,20.8186113,6.32815912,14.49045218,7.60766741,-7.24708346,-1.27463736,-0.25443226,-1.0202051,mvagoladmin,4/4/2024,mvagoladmin,4/4/2024,9b08afec-c8d4-4672-b731-f79b9eabeec1,7,balaclava,49.244985,-123.175155,comparison,-1.105031032,0.50862944,3.799243287,2.501127787,7,18356.90245,671.7558183
3513,59150904003,15303,7152.7,4080,2795,1285,10560,11321.1,4908,3408,1500,60.82031716,28.42772545,16.21557172,11.10846151,5.10711021,41.96137646,44.98569499,19.50250338,13.54208058,5.96042279,18.8589407,-16.55796954,-3.28693166,-2.43361908,-0.85331258,mvagoladmin,4/4/2024,mvagoladmin,4/4/2024,1d06f8ec-0f0e-4fa3-90bd-94330c95a8c8,7,balaclava,49.244985,-123.175155,comparison,-1.105031032,0.50862944,3.799243287,2.501127787,7,632.8278954,122.6851682
3514,59150904004,15812,6448,4783,3477,1306,13639,9519,3880,2555,1325,61.5612225,25.10414639,18.62176368,13.5370839,5.08467977,53.3169149,37.21121145,15.16750713,9.98788163,5.1796255,8.24430761,-12.10706506,3.45425654,3.54920227,-0.09494573,mvagoladmin,4/4/2024,mvagoladmin,4/4/2024,b07cae7c-fa54-48c3-8c49-c0dcbf337bdc,7,balaclava,49.244985,-123.175155,comparison,-1.105031032,0.50862944,3.799243287,2.501127787,7,10561.25396,454.0037609
3779,59150959001,4974,15749.5,3974,1142,2832,4208,16403.4,3494,1594,1900,22.78933382,72.15935123,18.20764226,5.23229176,12.9753505,19.23393363,74.97668891,15.9703812,7.28585794,8.68452327,3.55540019,-2.81733768,2.23726106,-2.05356618,4.29082723,mvagoladmin,4/4/2024,mvagoladmin,4/4/2024,99f44330-8778-474f-a06b-0fed00970081,7,balaclava,49.244985,-123.175155,comparison,-1.105031032,0.50862944,3.799243287,2.501127787,7,19857.69319,583.2988932
